Student Name,Contact Number
Rohit Sharma,49187414430
Gulshan Mehra,49596259245
Rahul Khatri,50005104060
Gaurav Nagar,50413948875
Tushar Jindal,50822793690
Tushar Jindal,51231638505
Kunal Mehra,51640483320
Ashish Rathore,52049328135
Chetan Meena,52458172951
Mohan Meena,52867017766
Ravi Meena,53275862581
Rohit Sharma,53684707396
Gulshan Mehra,54093552211
Rahul Khatri,54502397026
Gaurav Nagar,54911241841
Tushar Jindal,55320086656
Tushar Jindal,55728931471
Kunal Mehra,56137776286
Ashish Rathore,56546621102
Chetan Meena,56955465917
Mohan Meena,57364310732
Ravi Meena,57773155547
Rohit Sharma,58182000362
Gulshan Mehra,58590845177
Rahul Khatri,58999689992
Gaurav Nagar,59408534807
Tushar Jindal,59817379622
Tushar Jindal,60226224437
Kunal Mehra,60635069253
Ashish Rathore,61043914068
Chetan Meena,61452758883
Mohan Meena,61861603698
Ravi Meena,62270448513
Rohit Sharma,62679293328
Gulshan Mehra,63088138143
Rahul Khatri,63496982958
Gaurav Nagar,63905827773
Tushar Jindal,64314672588
Tushar Jindal,64723517404
Kunal Mehra,65132362219
Ashish Rathore,65541207034
Chetan Meena,65950051849
Mohan Meena,66358896664
Ravi Meena,66767741479
Rohit Sharma,67176586294
Gulshan Mehra,67585431109
Rahul Khatri,67994275924
Gaurav Nagar,68403120739
Tushar Jindal,68811965555
Tushar Jindal,69220810370
Kunal Mehra,69629655185
Ashish Rathore,70038500000
Chetan Meena,70447344815
Mohan Meena,70856189630
Ravi Meena,71265034445
Rohit Sharma,71673879260
Gulshan Mehra,72082724075
Rahul Khatri,72491568890
Gaurav Nagar,72900413706
Tushar Jindal,73309258521
Tushar Jindal,73718103336
Kunal Mehra,74126948151
Ashish Rathore,74535792966
Chetan Meena,74944637781
Mohan Meena,75353482596
Ravi Meena,75762327411
Rohit Sharma,76171172226
Gulshan Mehra,76580017041
Rahul Khatri,76988861857
Gaurav Nagar,77397706672
Tushar Jindal,77806551487
Tushar Jindal,78215396302
Kunal Mehra,78624241117
Ashish Rathore,79033085932
Chetan Meena,79441930747
Mohan Meena,79850775562
Ravi Meena,80259620377
Rohit Sharma,80668465192
Gulshan Mehra,81077310008
Rahul Khatri,81486154823
Gaurav Nagar,81894999638
Tushar Jindal,82303844453
Tushar Jindal,82712689268
Kunal Mehra,83121534083
Ashish Rathore,83530378898
Chetan Meena,83939223713
Mohan Meena,84348068528
Ravi Meena,84756913343
Rohit Sharma,85165758159
Gulshan Mehra,85574602974
Rahul Khatri,85983447789
Gaurav Nagar,86392292604
Tushar Jindal,86801137419
Tushar Jindal,87209982234
Kunal Mehra,87618827049
Ashish Rathore,88027671864
Chetan Meena,88436516679
Mohan Meena,88845361494
Ravi Meena,89254206310
Rohit Sharma,89663051125
Gulshan Mehra,90071895940
Rahul Khatri,90480740755
Gaurav Nagar,90889585570
Tushar Jindal,91298430385
Tushar Jindal,91707275200
Kunal Mehra,92116120015
Ashish Rathore,92524964830
Chetan Meena,92933809645
Mohan Meena,93342654461
Ravi Meena,93751499276
Rohit Sharma,94160344091
Gulshan Mehra,94569188906
Rahul Khatri,94978033721
Gaurav Nagar,95386878536
Tushar Jindal,95795723351
Tushar Jindal,96204568166
Kunal Mehra,96613412981
Ashish Rathore,97022257796
Chetan Meena,97431102612
Mohan Meena,97839947427
Ravi Meena,98248792242
Rohit Sharma,98657637057
Gulshan Mehra,99066481872
Rahul Khatri,99475326687
Gaurav Nagar,99884171502
Tushar Jindal,1.00293E+11
Tushar Jindal,1.00702E+11
Kunal Mehra,1.01111E+11
Ashish Rathore,1.0152E+11
Chetan Meena,1.01928E+11
Mohan Meena,1.02337E+11
Ravi Meena,1.02746E+11
Rohit Sharma,1.03155E+11
Gulshan Mehra,1.03564E+11
Rahul Khatri,1.03973E+11
Gaurav Nagar,1.04381E+11
Tushar Jindal,1.0479E+11
Tushar Jindal,1.05199E+11
Kunal Mehra,1.05608E+11
Ashish Rathore,1.06017E+11
Chetan Meena,1.06426E+11
Mohan Meena,1.06835E+11
Ravi Meena,1.07243E+11
Rohit Sharma,1.07652E+11
Gulshan Mehra,1.08061E+11
Rahul Khatri,1.0847E+11
Gaurav Nagar,1.08879E+11
Tushar Jindal,1.09288E+11
Tushar Jindal,1.09696E+11
Kunal Mehra,1.10105E+11
Ashish Rathore,1.10514E+11
Chetan Meena,1.10923E+11
Mohan Meena,1.11332E+11
Ravi Meena,1.11741E+11
Rohit Sharma,1.1215E+11
Gulshan Mehra,1.12558E+11
Rahul Khatri,1.12967E+11
Gaurav Nagar,1.13376E+11
Tushar Jindal,1.13785E+11
Tushar Jindal,1.14194E+11
Kunal Mehra,1.14603E+11
Ashish Rathore,1.15011E+11
Chetan Meena,1.1542E+11
Mohan Meena,1.15829E+11
Ravi Meena,1.16238E+11
Rohit Sharma,1.16647E+11
Gulshan Mehra,1.17056E+11
Rahul Khatri,1.17464E+11
Gaurav Nagar,1.17873E+11
Tushar Jindal,1.18282E+11
Tushar Jindal,1.18691E+11
Kunal Mehra,1.191E+11
Ashish Rathore,1.19509E+11
Chetan Meena,1.19918E+11
Mohan Meena,1.20326E+11
Ravi Meena,1.20735E+11
Rohit Sharma,1.21144E+11
Gulshan Mehra,1.21553E+11
Rahul Khatri,1.21962E+11
Gaurav Nagar,1.22371E+11
Tushar Jindal,1.22779E+11
Tushar Jindal,1.23188E+11
Kunal Mehra,1.23597E+11
Ashish Rathore,1.24006E+11
Chetan Meena,1.24415E+11
Mohan Meena,1.24824E+11
Ravi Meena,1.25233E+11
Rohit Sharma,1.25641E+11
Gulshan Mehra,1.2605E+11
Rahul Khatri,1.26459E+11
Gaurav Nagar,1.26868E+11
Tushar Jindal,1.27277E+11
Tushar Jindal,1.27686E+11
Kunal Mehra,1.28094E+11
Ashish Rathore,1.28503E+11
Chetan Meena,1.28912E+11
Mohan Meena,1.29321E+11
Ravi Meena,1.2973E+11
Rohit Sharma,1.30139E+11
Gulshan Mehra,1.30548E+11
Rahul Khatri,1.30956E+11
Gaurav Nagar,1.31365E+11
Tushar Jindal,1.31774E+11
Tushar Jindal,1.32183E+11
Kunal Mehra,1.32592E+11
Ashish Rathore,1.33001E+11
Chetan Meena,1.33409E+11
Mohan Meena,1.33818E+11
Ravi Meena,1.34227E+11
Rohit Sharma,1.34636E+11
Gulshan Mehra,1.35045E+11
Rahul Khatri,1.35454E+11
Gaurav Nagar,1.35863E+11
Tushar Jindal,1.36271E+11
Tushar Jindal,1.3668E+11
Kunal Mehra,1.37089E+11
Ashish Rathore,1.37498E+11
Chetan Meena,1.37907E+11
Mohan Meena,1.38316E+11
Ravi Meena,1.38724E+11
Rohit Sharma,1.39133E+11
Gulshan Mehra,1.39542E+11
Rahul Khatri,1.39951E+11
Gaurav Nagar,1.4036E+11
Tushar Jindal,1.40769E+11
Tushar Jindal,1.41177E+11
Kunal Mehra,1.41586E+11
Ashish Rathore,1.41995E+11
Chetan Meena,1.42404E+11
Mohan Meena,1.42813E+11
Ravi Meena,1.43222E+11
Rohit Sharma,1.43631E+11
Gulshan Mehra,1.44039E+11
Rahul Khatri,1.44448E+11
Gaurav Nagar,1.44857E+11
Tushar Jindal,1.45266E+11
Tushar Jindal,1.45675E+11
Kunal Mehra,1.46084E+11
Ashish Rathore,1.46492E+11
Chetan Meena,1.46901E+11
Mohan Meena,1.4731E+11
Ravi Meena,1.47719E+11
Rohit Sharma,1.48128E+11
Gulshan Mehra,1.48537E+11
Rahul Khatri,1.48946E+11
Gaurav Nagar,1.49354E+11
Tushar Jindal,1.49763E+11
Tushar Jindal,1.50172E+11
Kunal Mehra,1.50581E+11
Ashish Rathore,1.5099E+11
Chetan Meena,1.51399E+11
Mohan Meena,1.51807E+11
Ravi Meena,1.52216E+11
Rohit Sharma,1.52625E+11
Gulshan Mehra,1.53034E+11
Rahul Khatri,1.53443E+11
Gaurav Nagar,1.53852E+11
Tushar Jindal,1.54261E+11
Tushar Jindal,1.54669E+11
Kunal Mehra,1.55078E+11
Ashish Rathore,1.55487E+11
Chetan Meena,1.55896E+11
Mohan Meena,1.56305E+11
Ravi Meena,1.56714E+11
Rohit Sharma,1.57122E+11
Gulshan Mehra,1.57531E+11
Rahul Khatri,1.5794E+11
Gaurav Nagar,1.58349E+11
Tushar Jindal,1.58758E+11
Tushar Jindal,1.59167E+11
Kunal Mehra,1.59576E+11
Ashish Rathore,1.59984E+11
Chetan Meena,1.60393E+11
Mohan Meena,1.60802E+11
Ravi Meena,1.61211E+11
Rohit Sharma,1.6162E+11
Gulshan Mehra,1.62029E+11
Rahul Khatri,1.62437E+11
Gaurav Nagar,1.62846E+11
Tushar Jindal,1.63255E+11
Tushar Jindal,1.63664E+11
Kunal Mehra,1.64073E+11
Ashish Rathore,1.64482E+11
Chetan Meena,1.6489E+11
Mohan Meena,1.65299E+11
Ravi Meena,1.65708E+11
Rohit Sharma,1.66117E+11
Gulshan Mehra,1.66526E+11
Rahul Khatri,1.66935E+11
Gaurav Nagar,1.67344E+11
Tushar Jindal,1.67752E+11
Tushar Jindal,1.68161E+11
Kunal Mehra,1.6857E+11
Ashish Rathore,1.68979E+11
Chetan Meena,1.69388E+11
Mohan Meena,1.69797E+11
Ravi Meena,1.70205E+11
Rohit Sharma,1.70614E+11
Gulshan Mehra,1.71023E+11
Rahul Khatri,1.71432E+11
Gaurav Nagar,1.71841E+11
Tushar Jindal,1.7225E+11
Tushar Jindal,1.72659E+11
Kunal Mehra,1.73067E+11
Ashish Rathore,1.73476E+11
Chetan Meena,1.73885E+11
Mohan Meena,1.74294E+11
Ravi Meena,1.74703E+11
Rohit Sharma,1.75112E+11
Gulshan Mehra,1.7552E+11
Rahul Khatri,1.75929E+11
Gaurav Nagar,1.76338E+11
Tushar Jindal,1.76747E+11
Tushar Jindal,1.77156E+11
Kunal Mehra,1.77565E+11
Ashish Rathore,1.77974E+11
Chetan Meena,1.78382E+11
Mohan Meena,1.78791E+11
Ravi Meena,1.792E+11
Rohit Sharma,1.79609E+11
Gulshan Mehra,1.80018E+11
Rahul Khatri,1.80427E+11
Gaurav Nagar,1.80835E+11
Tushar Jindal,1.81244E+11
Tushar Jindal,1.81653E+11
Kunal Mehra,1.82062E+11
Ashish Rathore,1.82471E+11
Chetan Meena,1.8288E+11
Mohan Meena,1.83289E+11
Ravi Meena,1.83697E+11
Rohit Sharma,1.84106E+11
Gulshan Mehra,1.84515E+11
Rahul Khatri,1.84924E+11
Gaurav Nagar,1.85333E+11
Tushar Jindal,1.85742E+11
Tushar Jindal,1.8615E+11
Kunal Mehra,1.86559E+11
Ashish Rathore,1.86968E+11
Chetan Meena,1.87377E+11
Mohan Meena,1.87786E+11
Ravi Meena,1.88195E+11
Rohit Sharma,1.88603E+11
Gulshan Mehra,1.89012E+11
Rahul Khatri,1.89421E+11
Gaurav Nagar,1.8983E+11
Tushar Jindal,1.90239E+11
Tushar Jindal,1.90648E+11
Kunal Mehra,1.91057E+11
Ashish Rathore,1.91465E+11
Chetan Meena,1.91874E+11
Mohan Meena,1.92283E+11
Ravi Meena,1.92692E+11
Rohit Sharma,1.93101E+11
Gulshan Mehra,1.9351E+11
Rahul Khatri,1.93918E+11
Gaurav Nagar,1.94327E+11
Tushar Jindal,1.94736E+11
Tushar Jindal,1.95145E+11
Kunal Mehra,1.95554E+11
Ashish Rathore,1.95963E+11
Chetan Meena,1.96372E+11
Mohan Meena,1.9678E+11
Ravi Meena,1.97189E+11
Rohit Sharma,1.97598E+11
Gulshan Mehra,1.98007E+11
Rahul Khatri,1.98416E+11
Gaurav Nagar,1.98825E+11
Tushar Jindal,1.99233E+11
Tushar Jindal,1.99642E+11
Kunal Mehra,2.00051E+11
Ashish Rathore,2.0046E+11
Chetan Meena,2.00869E+11
Mohan Meena,2.01278E+11
Ravi Meena,2.01687E+11
Rohit Sharma,2.02095E+11
Gulshan Mehra,2.02504E+11
Rahul Khatri,2.02913E+11
Gaurav Nagar,2.03322E+11
Tushar Jindal,2.03731E+11
Tushar Jindal,2.0414E+11
Kunal Mehra,2.04548E+11
Ashish Rathore,2.04957E+11
Chetan Meena,2.05366E+11
Mohan Meena,2.05775E+11
Ravi Meena,2.06184E+11
Rohit Sharma,2.06593E+11
Gulshan Mehra,2.07002E+11
Rahul Khatri,2.0741E+11
Gaurav Nagar,2.07819E+11
Tushar Jindal,2.08228E+11
Tushar Jindal,2.08637E+11
Kunal Mehra,2.09046E+11
Ashish Rathore,2.09455E+11
Chetan Meena,2.09863E+11
Mohan Meena,2.10272E+11
Ravi Meena,2.10681E+11
Rohit Sharma,2.1109E+11
Gulshan Mehra,2.11499E+11
Rahul Khatri,2.11908E+11
Gaurav Nagar,2.12316E+11
Tushar Jindal,2.12725E+11
Tushar Jindal,2.13134E+11
Kunal Mehra,2.13543E+11
Ashish Rathore,2.13952E+11
Chetan Meena,2.14361E+11
Mohan Meena,2.1477E+11
Ravi Meena,2.15178E+11
Rohit Sharma,2.15587E+11
Gulshan Mehra,2.15996E+11
Rahul Khatri,2.16405E+11
Gaurav Nagar,2.16814E+11
Tushar Jindal,2.17223E+11
Tushar Jindal,2.17631E+11
Kunal Mehra,2.1804E+11
Ashish Rathore,2.18449E+11
Chetan Meena,2.18858E+11
Mohan Meena,2.19267E+11
Ravi Meena,2.19676E+11
Rohit Sharma,2.20085E+11
Gulshan Mehra,2.20493E+11
Rahul Khatri,2.20902E+11
Gaurav Nagar,2.21311E+11
Tushar Jindal,2.2172E+11
Tushar Jindal,2.22129E+11
Kunal Mehra,2.22538E+11
Ashish Rathore,2.22946E+11
Chetan Meena,2.23355E+11
Mohan Meena,2.23764E+11
Ravi Meena,2.24173E+11
Rohit Sharma,2.24582E+11
Gulshan Mehra,2.24991E+11
Rahul Khatri,2.254E+11
Gaurav Nagar,2.25808E+11
Tushar Jindal,2.26217E+11
Tushar Jindal,2.26626E+11
Kunal Mehra,2.27035E+11
Ashish Rathore,2.27444E+11
Chetan Meena,2.27853E+11
Mohan Meena,2.28261E+11
Ravi Meena,2.2867E+11
Rohit Sharma,2.29079E+11
Gulshan Mehra,2.29488E+11
Rahul Khatri,2.29897E+11
Gaurav Nagar,2.30306E+11
Tushar Jindal,2.30715E+11
Tushar Jindal,2.31123E+11
Kunal Mehra,2.31532E+11
Ashish Rathore,2.31941E+11
Chetan Meena,2.3235E+11
Mohan Meena,2.32759E+11
Ravi Meena,2.33168E+11
Rohit Sharma,2.33576E+11
Gulshan Mehra,2.33985E+11
Rahul Khatri,2.34394E+11
Gaurav Nagar,2.34803E+11
Tushar Jindal,2.35212E+11
Tushar Jindal,2.35621E+11
Kunal Mehra,2.36029E+11
Ashish Rathore,2.36438E+11
Chetan Meena,2.36847E+11
Mohan Meena,2.37256E+11
Ravi Meena,2.37665E+11
Rohit Sharma,2.38074E+11
Gulshan Mehra,2.38483E+11
Rahul Khatri,2.38891E+11
Gaurav Nagar,2.393E+11
Tushar Jindal,2.39709E+11
Tushar Jindal,2.40118E+11
Kunal Mehra,2.40527E+11
Ashish Rathore,2.40936E+11
Chetan Meena,2.41344E+11
Mohan Meena,2.41753E+11
Ravi Meena,2.42162E+11
Rohit Sharma,2.42571E+11
Gulshan Mehra,2.4298E+11
Rahul Khatri,2.43389E+11
Gaurav Nagar,2.43798E+11
Tushar Jindal,2.44206E+11
Tushar Jindal,2.44615E+11
Kunal Mehra,2.45024E+11
Ashish Rathore,2.45433E+11
Chetan Meena,2.45842E+11
Mohan Meena,2.46251E+11
Ravi Meena,2.46659E+11
Rohit Sharma,2.47068E+11
Gulshan Mehra,2.47477E+11
Rahul Khatri,2.47886E+11
Gaurav Nagar,2.48295E+11
Tushar Jindal,2.48704E+11
Tushar Jindal,2.49113E+11
Kunal Mehra,2.49521E+11
Ashish Rathore,2.4993E+11
Chetan Meena,2.50339E+11
Mohan Meena,2.50748E+11
Ravi Meena,2.51157E+11
Rohit Sharma,2.51566E+11
Gulshan Mehra,2.51974E+11
Rahul Khatri,2.52383E+11
Gaurav Nagar,2.52792E+11
Tushar Jindal,2.53201E+11
Tushar Jindal,2.5361E+11
Kunal Mehra,2.54019E+11
Ashish Rathore,2.54428E+11
Chetan Meena,2.54836E+11
Mohan Meena,2.55245E+11
Ravi Meena,2.55654E+11
Rohit Sharma,2.56063E+11
Gulshan Mehra,2.56472E+11
Rahul Khatri,2.56881E+11
Gaurav Nagar,2.57289E+11
Tushar Jindal,2.57698E+11
Tushar Jindal,2.58107E+11
Kunal Mehra,2.58516E+11
Ashish Rathore,2.58925E+11
Chetan Meena,2.59334E+11
Mohan Meena,2.59742E+11
Ravi Meena,2.60151E+11
Rohit Sharma,2.6056E+11
Gulshan Mehra,2.60969E+11
Rahul Khatri,2.61378E+11
Gaurav Nagar,2.61787E+11
Tushar Jindal,2.62196E+11
Tushar Jindal,2.62604E+11
Kunal Mehra,2.63013E+11
Ashish Rathore,2.63422E+11
Chetan Meena,2.63831E+11
Mohan Meena,2.6424E+11
Ravi Meena,2.64649E+11
Rohit Sharma,2.65057E+11
Gulshan Mehra,2.65466E+11
Rahul Khatri,2.65875E+11
Gaurav Nagar,2.66284E+11
Tushar Jindal,2.66693E+11
Tushar Jindal,2.67102E+11
Kunal Mehra,2.67511E+11
Ashish Rathore,2.67919E+11
Chetan Meena,2.68328E+11
Mohan Meena,2.68737E+11
Ravi Meena,2.69146E+11
Rohit Sharma,2.69555E+11
Gulshan Mehra,2.69964E+11
Rahul Khatri,2.70372E+11
Gaurav Nagar,2.70781E+11
Tushar Jindal,2.7119E+11
Tushar Jindal,2.71599E+11
Kunal Mehra,2.72008E+11
Ashish Rathore,2.72417E+11
Chetan Meena,2.72826E+11
Mohan Meena,2.73234E+11
Ravi Meena,2.73643E+11
Rohit Sharma,2.74052E+11
Gulshan Mehra,2.74461E+11
Rahul Khatri,2.7487E+11
Gaurav Nagar,2.75279E+11
Kunal Mehra,2.75687E+11
Ashish Rathore,2.76096E+11
Chetan Meena,2.76505E+11
Mohan Meena,2.76914E+11
Ravi Meena,2.77323E+11
Rohit Sharma,2.77732E+11
Gulshan Mehra,2.78141E+11
Rahul Khatri,2.78549E+11
Gaurav Nagar,2.78958E+11
Tushar Jindal,2.79367E+11
Tushar Jindal,2.79776E+11
Kunal Mehra,2.80185E+11
Ashish Rathore,2.80594E+11
Chetan Meena,2.81002E+11
Mohan Meena,2.81411E+11
Ravi Meena,2.8182E+11
Rohit Sharma,2.82229E+11
Gulshan Mehra,2.82638E+11
Rahul Khatri,2.83047E+11
Gaurav Nagar,2.83455E+11
Tushar Jindal,2.83864E+11
Tushar Jindal,2.84273E+11
Kunal Mehra,2.84682E+11
Ashish Rathore,2.85091E+11
Chetan Meena,2.855E+11
Mohan Meena,2.85909E+11
Ravi Meena,2.86317E+11
Rohit Sharma,2.86726E+11
Gulshan Mehra,2.87135E+11
Rahul Khatri,2.87544E+11
Gaurav Nagar,2.87953E+11
Tushar Jindal,2.88362E+11
Tushar Jindal,2.8877E+11
Kunal Mehra,2.89179E+11
Ashish Rathore,2.89588E+11
Chetan Meena,2.89997E+11
Mohan Meena,2.90406E+11
Ravi Meena,2.90815E+11
Rohit Sharma,2.91224E+11
Gulshan Mehra,2.91632E+11
Rahul Khatri,2.92041E+11
Gaurav Nagar,2.9245E+11
Tushar Jindal,2.92859E+11
Tushar Jindal,2.93268E+11
Kunal Mehra,2.93677E+11
Ashish Rathore,2.94085E+11
Chetan Meena,2.94494E+11
Mohan Meena,2.94903E+11
Ravi Meena,2.95312E+11
Rohit Sharma,2.95721E+11
Gulshan Mehra,2.9613E+11
Rahul Khatri,2.96539E+11
Gaurav Nagar,2.96947E+11
Tushar Jindal,2.97356E+11
Tushar Jindal,2.97765E+11
Kunal Mehra,2.98174E+11
Ashish Rathore,2.98583E+11
Chetan Meena,2.98992E+11
Mohan Meena,2.994E+11
Ravi Meena,2.99809E+11
Rohit Sharma,3.00218E+11
Gulshan Mehra,3.00627E+11
Rahul Khatri,3.01036E+11
Gaurav Nagar,3.01445E+11
Tushar Jindal,3.01854E+11
Tushar Jindal,3.02262E+11
Kunal Mehra,3.02671E+11
Ashish Rathore,3.0308E+11
Chetan Meena,3.03489E+11
Mohan Meena,3.03898E+11
Ravi Meena,3.04307E+11
Rohit Sharma,3.04715E+11
Gulshan Mehra,3.05124E+11
Rahul Khatri,3.05533E+11
Gaurav Nagar,3.05942E+11
Tushar Jindal,3.06351E+11
Tushar Jindal,3.0676E+11
Kunal Mehra,3.07168E+11
Ashish Rathore,3.07577E+11
Chetan Meena,3.07986E+11
Mohan Meena,3.08395E+11
Ravi Meena,3.08804E+11
Rohit Sharma,3.09213E+11
Gulshan Mehra,3.09622E+11
Rahul Khatri,3.1003E+11
Gaurav Nagar,3.10439E+11
Tushar Jindal,3.10848E+11
Tushar Jindal,3.11257E+11
Kunal Mehra,3.11666E+11
Ashish Rathore,3.12075E+11
Chetan Meena,3.12483E+11
Mohan Meena,3.12892E+11
Ravi Meena,3.13301E+11
Rohit Sharma,3.1371E+11
Gulshan Mehra,3.14119E+11
Rahul Khatri,3.14528E+11
Gaurav Nagar,3.14937E+11
Tushar Jindal,3.15345E+11
Tushar Jindal,3.15754E+11
Kunal Mehra,3.16163E+11
Ashish Rathore,3.16572E+11
Chetan Meena,3.16981E+11
Mohan Meena,3.1739E+11
Ravi Meena,3.17798E+11
Rohit Sharma,3.18207E+11
Gulshan Mehra,3.18616E+11
Rahul Khatri,3.19025E+11
Gaurav Nagar,3.19434E+11
Tushar Jindal,3.19843E+11
Tushar Jindal,3.20252E+11
Kunal Mehra,3.2066E+11
Ashish Rathore,3.21069E+11
Chetan Meena,3.21478E+11
Mohan Meena,3.21887E+11
Ravi Meena,3.22296E+11
Rohit Sharma,3.22705E+11
Gulshan Mehra,3.23113E+11
Rahul Khatri,3.23522E+11
Gaurav Nagar,3.23931E+11
Tushar Jindal,3.2434E+11
Tushar Jindal,3.24749E+11
Kunal Mehra,3.25158E+11
Ashish Rathore,3.25567E+11
Chetan Meena,3.25975E+11
Mohan Meena,3.26384E+11
Ravi Meena,3.26793E+11
Rohit Sharma,3.27202E+11
Gulshan Mehra,3.27611E+11
Rahul Khatri,3.2802E+11
Gaurav Nagar,3.28428E+11
Tushar Jindal,3.28837E+11
Tushar Jindal,3.29246E+11
Kunal Mehra,3.29655E+11
Ashish Rathore,3.30064E+11
Chetan Meena,3.30473E+11
Mohan Meena,3.30881E+11
Ravi Meena,3.3129E+11
Rohit Sharma,3.31699E+11
Gulshan Mehra,3.32108E+11
Rahul Khatri,3.32517E+11
Gaurav Nagar,3.32926E+11
Tushar Jindal,3.33335E+11
Tushar Jindal,3.33743E+11
Kunal Mehra,3.34152E+11
Ashish Rathore,3.34561E+11
Chetan Meena,3.3497E+11
Mohan Meena,3.35379E+11
Ravi Meena,3.35788E+11
Rohit Sharma,3.36196E+11
Gulshan Mehra,3.36605E+11
Rahul Khatri,3.37014E+11
Gaurav Nagar,3.37423E+11
Tushar Jindal,3.37832E+11
Tushar Jindal,3.38241E+11
Kunal Mehra,3.3865E+11
Ashish Rathore,3.39058E+11
Chetan Meena,3.39467E+11
Mohan Meena,3.39876E+11
Ravi Meena,3.40285E+11
Rohit Sharma,3.40694E+11
Gulshan Mehra,3.41103E+11
Rahul Khatri,3.41511E+11
Gaurav Nagar,3.4192E+11
Tushar Jindal,3.42329E+11
Tushar Jindal,3.42738E+11
Kunal Mehra,3.43147E+11
Ashish Rathore,3.43556E+11
Chetan Meena,3.43965E+11
Mohan Meena,3.44373E+11
Ravi Meena,3.44782E+11
Rohit Sharma,3.45191E+11
Gulshan Mehra,3.456E+11
Rahul Khatri,3.46009E+11
Gaurav Nagar,3.46418E+11
Tushar Jindal,3.46826E+11
Tushar Jindal,3.47235E+11
Kunal Mehra,3.47644E+11
Ashish Rathore,3.48053E+11
Chetan Meena,3.48462E+11
Mohan Meena,3.48871E+11
Ravi Meena,3.4928E+11
Rohit Sharma,3.49688E+11
Gulshan Mehra,3.50097E+11
Rahul Khatri,3.50506E+11
Gaurav Nagar,3.50915E+11
Tushar Jindal,3.51324E+11
Tushar Jindal,3.51733E+11
Kunal Mehra,3.52141E+11
Ashish Rathore,3.5255E+11
Chetan Meena,3.52959E+11
Mohan Meena,3.53368E+11
Ravi Meena,3.53777E+11
Rohit Sharma,3.54186E+11
Gulshan Mehra,3.54594E+11
Rahul Khatri,3.55003E+11
Gaurav Nagar,3.55412E+11
Tushar Jindal,3.55821E+11
Tushar Jindal,3.5623E+11
Kunal Mehra,3.56639E+11
Ashish Rathore,3.57048E+11
Chetan Meena,3.57456E+11
Mohan Meena,3.57865E+11
Ravi Meena,3.58274E+11
Rohit Sharma,3.58683E+11
Gulshan Mehra,3.59092E+11
Rahul Khatri,3.59501E+11
Gaurav Nagar,3.59909E+11
Tushar Jindal,3.60318E+11
Tushar Jindal,3.60727E+11
